,Student Number,Start Time,Submit Time,Status,Q1,Q2,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q4.8,Q4.9,Q4.10,Q5,Q6,Q7.1,Q7.2,Q7.3,Q7.4,Q7.5,Q8,Q9
0,1,2022-09-21 10:47:33.463,2022-09-21 10:49:18.587,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,True but I am not sure,I have no idea,True but I am not sure,"True, I am confident","True, I am confident",False but I am not sure,False but I am not sure,"False, I am confident",False but I am not sure,True but I am not sure,the measure of the difference in potential ,the measure of differencei n voltage,Agree,Agree,Agree,Agree,Agree,nil,nil
1,2,2022-09-21 14:45:01.423,2022-09-21 14:53:49.160,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,Others,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,"False, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,"False, I am confident","False, I am confident","False, I am confident",False but I am not sure,Analytical tool used to measure the activity of a species in a solution by the measurement of the difference in electrochemical potential in a cell circuit.,An analytical tool to measure the activity of a species in a solution by the measurement of current in different applied potentials.,Agree,Agree,Neutral,Strongly Disagree,Disagree,"The project was difficult to carry and quite tiresome. To make the process much more efficient we would need extra materials (extra jars, extra battery and cables) otherwise we are spending most of our time in the project just waiting for an electrolysis run to finish...",Thank you prof. Sellou for your fun class and advises!
2,3,2022-09-23 21:25:41.343,2022-09-23 21:34:24.110,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident","False, I am confident",False but I am not sure,the reaction occurs due to differences in electrical potential of two electrodes with the conversion of electrical potential energy to chemical energy,analytical quantification method based on the relationship between change in voltage and change in current,Agree,Agree,Neutral,Neutral,Agree,Those are really fun experiments! ,NIL
3,5,2022-09-21 13:55:39.683,2022-09-21 14:24:52.207,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,"False, I am confident",False but I am not sure,False but I am not sure,"False, I am confident",I have no idea,"True, I am confident","False, I am confident","False, I am confident",False but I am not sure,"True, I am confident",The measure of voltage between two half cell to determine the concentration of analyte.,"It is the measurement of current when a forced voltage is applied to allow reduction followed by oxidation to occur, so as to determine the concentration of the analyte.",Neutral,Disagree,Disagree,Disagree,Strongly Disagree,"Firstly, the instructions were not very clear in the first part of the lecture or project briefing. One of the things that was mentioned was the fact that the voltmeter given was actually a multi-meter which can measure the current. One thing I suggest if you really want to carry on with the project for future classes is to provide an example of how you want us to conduct the experiment (e.g. there has a been confusion and even heated debate on whether the double batteries not only increases the voltage, but whether it does increase the current. This question has not been even answered during VIVA, which frustrates us.)) While I understand some of the L.Os provided guide us to a minimal effort, and the fact that these project is supposed to be very open-minded, we cannot be 100% sure that whatever we do is always right.) Moreover, not alot of us have the same electrochemistry and we all have different starting fields, the project is unfair as we feel that not everyone has the same starting background and therefore we have different assumptions. Examples includes whether the resistance of the batteries, as well as the wires, electrodes and electrolytes has to be assumed to 0 ohms or not. While maybe it was an intentional from your part to instill the ""group discussion"" for the project, I feel like there was NOT a satisfactory answer we get, especially at the end of the project. 

The hands-on tutorial, meanwhile, was short and we do not learn much from the 1 hour session, as much as the answers that were uploaded on LumiNUS. Attendance was not even compulsory. If the guided question provided from the hands-on tutorial was used as the guiding questions for the project, we feel that we could have learnt better that way.

Lastly, I feel like there should not be any 3 minute video editing component, as not everyone has video editing experience, which is very unfair. Some people may have access to better video editing software (like admittedly yours truly), but I do not find it fair as those freeware editing softwares have some functions that are limited nor behind a pay-wall. Also, the pro-forma and workload for the project does not strongly justify the amount of hours we spend. For a group of 3 consisting of Year 3 Chemistry Students, it is already very hard for us to meet up and conduct the experiments, even during the current pandemic as any of us could end up with Covid. Moreover, the pro-forma feels more like a report, which hence I would suggest if you expect us to type such a long answer, it should just be a group report like any other laboratory modules we took. The weightage of the group report should be the same as the VIVA, or moreover of a higher weightage due to the amount of time spend on it.",Please take note that the assessment of the project should account for the things I mentioned above.
4,6,2022-09-20 21:04:34.863,2022-09-20 21:18:33.347,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,"False, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","Potentiometry, electrolytic cell without battery and can measure potential when current is zero.",Voltammetry (Electrolysis with potential applied) analysis of analyte concentration and chemical reaction properties via measurement of current vs applied potential. ,Agree,Agree,Strongly Disagree,Agree,Neutral,The hands-on tutorial and project were a good way to see the actual process of electrolysis occurring but reactions did defer according to where it was done which in turn led to confusing results. Maybe more standardization could have been done like restricting venue.,nil
5,7,2022-09-21 22:22:50.537,2022-09-21 22:31:51.347,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,"False, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",Potentiometry is the measure of potential difference across two half-cells in an electrolytic cell. It can be used to identify the concentration of analyte in the solution using the Nernst equation.,Voltammetry is the study of a voltaic cell by varying the potential difference applied and measuring the current detected. Modes of voltammetric analysis include cyclic voltammetry and linear sweep voltammetry.,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,"Difficult to understand the mechanisms and concepts behind treatment of wastewater because we were unsure of the exact chemistry behind why the dye was discoloured—we had to search literature to come up with some probable mechanisms. 

Difficult to carry out experiment at home. Should be done in lab where sufficient resources are available. I would rather add an additional 2-hour lab slot each week for the project instead of taking it home and doing it.",Not for now
6,8,2022-09-20 22:49:16.093,,Incomplete,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,,,,,,,,,,,,,,,,,,,
7,9,2022-09-21 18:53:45.880,2022-09-22 16:58:47.783,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,False but I am not sure,"False, I am confident","True, I am confident",True but I am not sure,"True, I am confident",True but I am not sure,"False, I am confident","False, I am confident","False, I am confident",True but I am not sure,Analysis of a solution by changing the potential difference applied to the system.,Analysis of a solution by adjusting the voltage or current applied to the system.,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Good acitivty but more time should be allocated to performing the experiments.,NIL
8,10,2022-09-21 14:19:02.200,2022-09-21 14:58:20.280,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,"False, I am confident","False, I am confident","True, I am confident",I have no idea,"True, I am confident",False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","True, I am confident","Potentiometry involves the measuring of the voltage between 2 half-cells, which helps us to determine the feasibility of the reaction if the 2 reagents are put together.","Voltammetry involves running a specific voltage through the analyte, which can be used to either obtain specific products from the analyte or determine analyte concentration.",Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,"I don't think that it is a good idea to include such hands-on tutorial and projects in this module.

The hands-on tutorial was a good first attempt to expose students to the real-life applications and concepts. However, there were too many factors and different experiments that was attempted to be sqeeuzed into a 1-hour tutorial timeslot, which in my opinion was not useful because we would be too focused on rushing through to appreciate the meaningfulness and concepts behind it all. Furthermore, I felt like the answers given after the tutorial were more useful in my understanding of the concepts and things that we were expected to know, becuase it gave us a benchmark to look at and what to expect for later learning.

I also understand that the project also came from the perspective to allow students to come up with their own questions that would be answered through doing the project as a means of self-discovery. However, I still feel that some guidance could have been included in the handout, such as asking certain guiding questions or questions to further probe student thinking. This is because the project assumes that everyone has the same basic level of understanding for electrochemistry, but granted that everyone comes from different backgrounds (i.e. JC, poly etc.), not everyone would be equally familiar with the concepts, and it feels like other groups might have advantage if they have members who are stronger in their concepts. As a result of such mixed abilities of group members in a group, I have heard that this has led to a lot of confusion and heated debates, because no one is unsure of what the correct concepts are. This has led to some unhappiness and second guessing, which could hamper our own understanding of the concepts that the professors intend for us to learn. As it was hard to get any clarification, this also made the viva especially challenging for many of us, as we were unable to even ascertain what we knew was the correct answers beforehand, and as such making us feel unprepared before viva. Furthermore, it was unfair to make students make a video to summarise what experiments we did, because not everyone would have the technical know-how or the relevant software and skills to make a (good) video.

In my opinion, it could have been more apt to make it more of a report to be written instead of calling it a pro forma, and the weightage of the report should be raised to match that of the viva. It might have also been better to scrap the making of the video, but instead include what experiments were run and methodology into the report itself. This would mean that both the extended pro forma (now lab report) and the viva would each constitute 10% of the grade.",NIL
9,11,2022-09-21 00:32:36.887,2022-09-21 00:38:25.177,Submitted,Yes,No answer,in Chemistry teaching labs,No answer,No answer,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,"True, I am confident",I have no idea,"True, I am confident",I have no idea,True but I am not sure,True but I am not sure,I have no idea,"False, I am confident","False, I am confident","True, I am confident",Potentiometry is when current is controlled while voltage is changed,Voltammetry is the study of the current response of a chemical under an applied potential difference,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I feel that the project was a very good opportunity for us to learn more and discover about electrolysis. But the workload might be a bit too high for the weightage (Eg: 3% video),NIL
10,12,2022-09-20 21:50:05.953,2022-09-20 22:29:58.860,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,"True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,A method of using potentials to determine the concentration of analyte,A method of measuring charge flown through a cell to determine analyte concentration,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,"Tutorial: More time / a lower student-to-professor ratio would be preferred to improve students' learning via asking questions and prompting by the professor. The hands-on tutorial in my opinion was slightly too rushed.

Project: More equipment should be provided as additional resource, e.g. wooden splint and lighter for testing for oxygen and hydrogen gas, litmus paper for testing for the possible evolution of acidic/basic/ gases which may let students test for and observe and document more useful information from their experiments, rather than based on purely observational skills of natural phenomena. This may reduce the gap of unfairness for other project groups that are more self-resourceful where they may access these materials to allow them to make new observations and give them an edge in making the more correct conclusions, less accessible to those who do not have said resources. 

Project experimental manual while it should state parameters to examine, it should include an additional line where students should critically examine all of the effects a given material could produce. This should aid students think beyond the box, as many students I believe had thoroughly mistaken that the experiment was a simple experiment bound by the lab manual instructions and parameters.",-
11,13,2022-09-25 17:05:42.680,2022-09-25 17:15:42.663,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,"False, I am confident","False, I am confident","False, I am confident",False but I am not sure,False but I am not sure,False but I am not sure,"False, I am confident","False, I am confident",I have no idea,True but I am not sure,A way to measure potential when current is 0.,Study of reactions in the electrolytic cell when there is applied current.,Agree,Agree,Agree,Neutral,Neutral,Electrochemistry hands-on tutorial was good as it helped to futher enforce what we had learned and we could see the reactions for ourselves. The electrochemistry project was rather vague and there are some parts like the decolouration that did not seem to focus much on electrochemistry but other aspects of chemistry which was slightly confusing.,Nil
12,14,2022-09-20 13:11:52.973,2022-09-20 13:29:27.907,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,"False, I am confident","False, I am confident","False, I am confident",True but I am not sure,"True, I am confident",False but I am not sure,"False, I am confident","False, I am confident","False, I am confident","True, I am confident",A technique used to determine the concentration of an analyte by measuring the potential of a cell.,"A technique in which a potential is applied to a cell and changed gradually to determine the analyte concentration, chemical reactivity and properties of the analyte.",Agree,Agree,Neutral,Agree,Agree,N.A.,N.A.
