,Student Number,Start Time,Submit Time,Status,Q1,Q2,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q4.8,Q4.9,Q4.10,Q4.11,Q5,Q6,Q7
0,1,2022-08-09 19:46:53.200,2022-08-09 19:48:06.710,Submitted,Yes,No answer,in Chemistry teaching labs,No answer,No answer,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,I have no idea,False but I am not sure,I have no idea,False but I am not sure,True but I am not sure,I have no idea,I have no idea,False but I am not sure,False but I am not sure,I have no idea,I have no idea,Difference in potential,Difference in voltagw,Nil
1,2,2022-08-09 10:40:39.280,2022-08-09 10:46:53.903,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,Others,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Disagree,"True, I am confident","False, I am confident","True, I am confident",True but I am not sure,"False, I am confident",True but I am not sure,True but I am not sure,"False, I am confident","False, I am confident",False but I am not sure,"False, I am confident",Used to measure concentration by measuring the cell potentials,Used to measure concentration by applying current (not sure),I'm interested to learn more!
2,3,2022-08-10 02:37:50.900,2022-08-11 10:07:25.657,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,No answer,No answer,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,True but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,False but I am not sure,True but I am not sure,Potential measured can be used to find concentrations of electrolyte in a solution.,Currents can be measured by applying a fixed potential across.,I have not touched electrochemistry for about 3 years and these questions appear really clueless to me.. Could you please provide some materials for some fundamental concepts if they will not be covered in our class? Thank you!
4,5,2022-08-09 11:57:08.667,2022-08-09 12:06:04.880,Submitted,Yes,No answer,in Chemistry teaching labs,in other University modules,No answer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,True but I am not sure,False but I am not sure,True but I am not sure,False but I am not sure,True but I am not sure,True but I am not sure,False but I am not sure,False but I am not sure,True but I am not sure,"True, I am confident",False but I am not sure,Potentiometry is an electroanalytic method where the electrical potential between the electrodes are measured.,Voltammetry is an electroanalytic method where the measure of the voltage in the circuit is measured.,NIL
5,6,2022-08-09 06:48:31.240,2022-08-09 07:09:04.273,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",No answer,in other University modules,No answer,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,"True, I am confident","False, I am confident","False, I am confident",False but I am not sure,"True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",The chemical analysis technique is used to obtain the potential difference between 2 electrodes in a cell.,Electrochemical analysis technique where a range of potential is applied at working electrode and corresponding current produced is obtained from the system.,Electrochemistry
6,7,2022-08-09 02:17:16.033,2022-08-09 02:20:52.977,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,"True, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident","False, I am confident",True but I am not sure,"Study of potential difference across the electrodes, against the reference electrode. ",Measure of redox potentials ,
7,8,2022-08-11 14:35:26.607,2022-08-11 15:54:25.267,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,No answer,No answer,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,"True, I am confident","False, I am confident","False, I am confident","True, I am confident","False, I am confident","False, I am confident",I have no idea,"False, I am confident","False, I am confident",False but I am not sure,False but I am not sure,The quantitative analysis of the concentration of an analyte in a sample by measurement of the potential difference between a working electrode and a reference electrode.,"The qualitative and quantitative analysis of an analyte's identity and concentration in a sample by measurement of both the potential difference between a working electrode and a reference electrode, and the current flowing across the same working electrode and a counter electrode.",
8,9,2022-08-09 16:10:45.330,2022-08-09 16:14:58.577,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,True but I am not sure,"True, I am confident",I have no idea,"False, I am confident","True, I am confident",False but I am not sure,"False, I am confident","True, I am confident","False, I am confident","True, I am confident",False but I am not sure,Using the change in electric potential to determine the concentration of analyte in a solution,Measuring the current flow of an analyte by varying the potential,nil
9,10,2022-08-09 10:38:00.810,2022-08-09 12:07:15.113,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,True but I am not sure,"False, I am confident","False, I am confident",I have no idea,"True, I am confident","False, I am confident",I have no idea,"False, I am confident","False, I am confident",I have no idea,False but I am not sure,Potentiometry refers to the potential difference between the cathode and the anode.,Voltammetry refers to the voltage difference between the cathode and the anode.,"I believe that some people may view electrochemistry in a negative light because they might have had bad experiences in the past and it was not taught well then, causing them to hate this specific topic. In my opinion, if the lectures and/or lesson notes are broken down into bite-sized and more easily digestible chunks, with CLEAR LEARNING OBJECTIVES that allow students to track their learning before, during and/or after lectures, it would make learning the topic(s) more manageable and perhaps even enjoyable."
10,11,2022-08-09 13:22:29.193,2022-08-09 13:25:50.387,Submitted,Yes,"Pre-University (e.g. Junior College, Polytechnic, Secondary School, etc.)",in Chemistry teaching labs,in other University modules,No answer,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,True but I am not sure,"True, I am confident",I have no idea,"False, I am confident",I have no idea,"False, I am confident",I have no idea,"False, I am confident","False, I am confident",False but I am not sure,I have no idea,Used to determine the concentration of an ion in the solution.,Potential across the electrodes are varied.,NIL
